seed,val_accuracy,val_macro_f1,val_weighted_f1,test_accuracy,test_macro_f1,test_weighted_f1
42,0.6555,0.6793,0.6535,0.6502,0.6697,0.6481
123,0.6307,0.6644,0.6269,0.6544,0.6728,0.6499
2024,0.6317,0.669,0.6284,0.6469,0.6687,0.6446
7,0.6369,0.6671,0.6336,0.6295,0.6612,0.6278
99,0.6223,0.6549,0.6171,0.6347,0.6678,0.63
